variable,value,scenario,policy,availability,p95_latency,breach_minutes,failed,worker_minutes,meets_slo
warmup_s,30.0,sudden_spike,Legacy,75.47,997.5,5.0,112603,356.0,False
warmup_s,30.0,sudden_spike,PeakGuard,94.98,115.7,1.6,23041,455.3,False
warmup_s,120.0,sudden_spike,Legacy,74.88,997.6,5.0,115303,351.5,False
warmup_s,120.0,sudden_spike,PeakGuard,87.37,520.6,3.0,57991,437.3,False
warmup_s,300.0,sudden_spike,Legacy,75.08,997.5,5.0,114403,349.5,False
warmup_s,300.0,sudden_spike,PeakGuard,74.48,997.5,5.0,117130,386.3,False
max_workers,10.0,scheduled_sale,Legacy,67.94,1004.2,10.0,173195,358.5,False
max_workers,10.0,scheduled_sale,PeakGuard,82.95,1004.2,10.0,92087,384.1,False
max_workers,20.0,scheduled_sale,Legacy,67.94,1004.2,10.0,173195,358.5,False
max_workers,20.0,scheduled_sale,PeakGuard,100.0,113.0,0.0,0,578.3,True
max_workers,30.0,scheduled_sale,Legacy,67.94,1004.2,10.0,173195,358.5,False
max_workers,30.0,scheduled_sale,PeakGuard,100.0,113.0,0.0,0,617.4,True
worker_tps,20.0,worker_loss,Legacy,77.08,1007.0,17.2,99018,453.0,False
worker_tps,20.0,worker_loss,PeakGuard,99.75,119.5,2.0,1059,657.9,False
worker_tps,30.0,worker_loss,Legacy,80.78,1004.2,10.0,83026,338.5,False
worker_tps,30.0,worker_loss,PeakGuard,100.0,115.9,1.2,0,437.3,False
worker_tps,40.0,worker_loss,Legacy,82.46,1004.2,10.0,75790,278.5,False
worker_tps,40.0,worker_loss,PeakGuard,100.0,113.6,0.0,0,327.7,True
spike_multiplier,3.0,sudden_spike,Legacy,90.96,997.6,5.0,34170,351.5,False
spike_multiplier,3.0,sudden_spike,PeakGuard,95.28,147.9,3.0,17830,360.2,False
spike_multiplier,4.5,sudden_spike,Legacy,82.14,997.6,5.0,74736,351.5,False
spike_multiplier,4.5,sudden_spike,PeakGuard,91.06,336.1,3.0,37418,420.3,False
spike_multiplier,6.0,sudden_spike,Legacy,74.88,997.6,5.0,115303,351.5,False
spike_multiplier,6.0,sudden_spike,PeakGuard,87.37,520.6,3.0,57991,437.3,False
