minute,tps,queue,workers,pending,lat_ms
0,92.0,0.0,4,1,106.6
1,87.8,0.0,4,1,87.8
2,86.6,0.0,5,0,98.6
3,96.6,0.0,5,0,108.0
4,86.2,0.0,5,0,104.1
5,93.8,0.0,5,0,105.6
6,92.0,0.0,5,0,113.9
7,87.0,0.0,5,0,110.3
8,89.5,0.0,5,0,93.6
9,83.2,0.0,5,0,90.9
10,90.9,0.0,5,17,94.7
11,85.0,0.0,5,17,102.5
12,89.0,0.0,20,2,85.7
13,93.8,0.0,20,2,95.7
14,100.1,0.0,20,2,104.6
15,458.6,0.0,19,3,100.3
16,485.4,0.0,20,2,97.2
17,452.0,0.0,20,2,97.7
18,447.4,0.0,20,2,103.3
19,448.0,0.0,20,2,110.4
20,424.1,0.0,20,2,109.7
21,464.8,0.0,20,2,106.0
22,439.5,0.0,20,2,101.0
23,446.3,0.0,20,2,86.9
24,439.8,0.0,20,2,94.3
25,89.3,0.0,20,2,103.4
26,86.1,0.0,20,1,103.3
27,94.7,0.0,20,0,90.6
28,90.0,0.0,18,0,109.2
29,92.7,0.0,16,0,100.4
30,88.0,0.0,14,0,100.6
31,92.0,0.0,12,0,93.6
32,87.3,0.0,10,0,111.6
33,88.3,0.0,8,0,103.3
34,96.3,0.0,6,0,97.7
35,90.0,0.0,4,0,104.3
36,87.2,0.0,4,1,115.0
37,88.8,0.0,4,1,90.1
38,90.9,0.0,5,0,95.6
39,92.8,0.0,5,0,102.4
40,81.9,0.0,5,0,97.6
41,85.5,0.0,5,0,90.9
42,83.2,0.0,5,0,87.9
43,83.0,0.0,5,0,112.7
44,94.0,0.0,5,0,97.1
45,90.5,0.0,5,0,94.6
46,91.9,0.0,5,0,102.3
47,86.1,0.0,5,0,101.4
48,89.3,0.0,5,0,104.0
49,96.7,0.0,5,0,99.3
50,92.0,0.0,5,0,113.2
51,98.4,0.0,5,0,100.0
52,93.3,0.0,5,0,98.6
53,84.0,0.0,5,0,98.0
54,94.9,0.0,5,0,105.8
55,89.6,0.0,5,0,113.7
56,89.7,0.0,5,0,104.5
57,92.7,0.0,5,0,95.4
58,89.4,0.0,5,0,82.2
59,89.0,0.0,5,0,98.2
